filial;id_venc;codigo;descricao;lote;qtd_vencendo;dt_vencimento;prc_venda
9;00077412;586891;CHEETOS ONDA 39G              ;;5;202607;3;
9;00077416;586909;CHEETOS LUA 34G               ;;4;202607;3;
51;00067092;626556;SH INF ALVA LARANJA DOCE E BAU;;1;202607;15;
76;00041879;626572;SAB LÃQ INF LARANJA DOCE E BAU;;3;202607;15;
74;00040866;626580;CPP INF LARANJA DOCE E BAUNILH;;1;202607;13;
51;00067095;626580;CPP INF LARANJA DOCE E BAUNILH;;3;202607;13;
63;00016373;647032;SHAKE WOD REDUCAO PESO CHOCOLA;;2;202608;20;
21;00053784;647032;SHAKE WOD REDUCAO PESO CHOCOLA;;2;202608;20;
72;00021587;647057;SHAKE WOD REDUCAO PESO BAUNILH;;2;202607;20;
46;00046340;647198;VITAMINA B12 WOD 60 CAPSULAS  ;;1;202607;15;
20;00010719;647255;CURCUMA LONGA 130MG SELENIO VI;;0;202607;15;
1;00013364;647289;PICOLINATO DE CROMO 500MG WOD ;;1;202607;15;
46;00046339;647289;PICOLINATO DE CROMO 500MG WOD ;;1;202607;15;
79;00025078;588582;BARRA WOD GOURMET BRIGADEIRO  ;;2;202607;3;
10;00042278;588582;BARRA WOD GOURMET BRIGADEIRO  ;;5;202607;3;
24;00020311;588590;BARRA WOD GOURMET COOKIES CREA;;3;202608;4;
50;00039389;588590;BARRA WOD GOURMET COOKIES CREA;;4;202608;4;
6;00057897;588590;BARRA WOD GOURMET COOKIES CREA;;1;202608;4;
35;00057249;599233;LAPISEIRA VIZZELA ULTRA BLACK ;;1;202608;15;
15;00020183;590679;BISC PANCO ROSQUINHA LEITE 350;;3;202607;6;
76;00071735;630590;BATOM LÃQ DAILUS SAPATILHA    ;;4;202607;12;
76;00073024;601690;KIT CICLO GOLD DEO COL + CANIV;;1;202607;22;
53;00035370;575365;BISC PANCO SEQUILHINHO 200G   ;;7;202607;5;
53;00074063;632729;MASC BRAE STAGES COLORAÃ‡ÃƒO 200;;1;202607;20;
53;00023361;642793;ESM BAUNY CLEO                ;;1;202608;5;
53;00023366;642868;ESM BAUNY ESTER               ;;4;202608;5;
76;00020708;643015;ESM BAUNY ELISA               ;;2;202608;5;
76;00072908;637223;CICLO JARDIN DEO COL NECTARINA;;2;202608;50;
30;00067930;692160;ILUMINADOR SOLTO LUXURY COR2  ;;2;202608;4;
74;00077259;692160;ILUMINADOR SOLTO LUXURY COR2  ;;14;202608;4;
50;00080819;687657;COLAGENO HIDROL ABACAXI/HOR 25;;2;202608;20;
30;00001771;692186;ILUMINADOR SOLTO LUXURY COR4  ;;0;202608;4;
16;00009849;692186;ILUMINADOR SOLTO LUXURY COR4  ;;2;202608;4;
53;00035302;676809;BISC BAUD COOKIES MAXI PINTA L;;6;202608;4;
10;00042281;677286;BISC MARILAN WAFFER MORANGO   ;;5;202607;2;
76;00069387;699405;ALFAJOR COOPER ENERGY LEITE PO;;3;202608;4;
64;00038199;699421;ALFAJOR COOPER ENERGY MORANGO ;;2;202607;4;
76;00069386;699421;ALFAJOR COOPER ENERGY MORANGO ;;2;202607;4;
50;00039326;686618;ILUMINADOR SOLTO LUXURY FACE B;;3;202608;3;
30;00018299;674465;FUNDIPPERZ MINIONS 54G        ;;12;202607;4;
47;00061138;676726;BOMBOM LACTA OREO 20,1G       ;;45;202608;1;
17;00060448;676726;BOMBOM LACTA OREO 20,1G       ;;54;202608;1;
35;00057614;217344;CHOC CHOKITO 32GR             ;;30;202607;3;
5;00070791;217344;CHOC CHOKITO 32GR             ;;11;202607;3;
66;00080101;217344;CHOC CHOKITO 32GR             ;;22;202607;3;
15;00077114;217344;CHOC CHOKITO 32GR             ;;12;202607;3;
57;00079612;217344;CHOC CHOKITO 32GR             ;;14;202607;3;
61;00055818;218626;CHOC TWIX 40GR                ;;18;202607;3;
56;00061185;218626;CHOC TWIX 40GR                ;;6;202607;3;
24;00072235;218626;CHOC TWIX 40GR                ;;13;202607;4;
20;00075226;218626;CHOC TWIX 40GR                ;;18;202608;4;
16;00073782;218626;CHOC TWIX 40GR                ;;12;202607;4;
7;00080579;218626;CHOC TWIX 40GR                ;;9;202607;4;
66;00080582;218626;CHOC TWIX 40GR                ;;4;202607;4;
77;00023387;237493;CHOC MEM AMENDOIN 45/40GR     ;;16;202608;4;
77;00023394;237493;CHOC MEM AMENDOIN 45/40GR     ;;12;202607;4;
16;00064477;259179;CHOC KINDER T4X20X8 50G       ;;6;202608;6;
79;00015279;263028;SUCO DEL VALLE UVA LT 290ML   ;;6;202608;4;
15;00022001;263028;SUCO DEL VALLE UVA LT 290ML   ;;4;202608;4;
5;00049649;263028;SUCO DEL VALLE UVA LT 290ML   ;;5;202608;4;
55;00048156;263028;SUCO DEL VALLE UVA LT 290ML   ;;6;202608;4;
55;00067189;263028;SUCO DEL VALLE UVA LT 290ML   ;;5;202608;4;
55;00074096;263028;SUCO DEL VALLE UVA LT 290ML   ;;3;202608;4;
76;00073614;905194;BOMBOM FERRERO ROCHER C/3UN   ;;18;202607;8;
27;00017051;919829;REFRI COCA COLA 350ML         ;;12;202608;4;
18;00050188;919829;REFRI COCA COLA 350ML         ;;14;202608;4;
18;00061658;919829;REFRI COCA COLA 350ML         ;;10;202608;4;
51;00068644;936316;ATIV PLUS GUARANA COM ACAI 290;;18;202608;1,5;
51;00056212;936324;ATIV PLUS GUARANA NATURAL 290M;;17;202608;1,5;
37;00016906;958387;TORTINHA MARILAN MORANGO 140G ;;2;202607;3;
53;00072177;956660;BISC RECH CHOCOLATE 108G      ;;5;202608;2;
53;00072180;956694;BISC RECHEADO MNORANGO 108G   ;;17;202608;3;
30;00003066;965022;PICOLE FRUTTARE LIMAO         ;;3;202608;5;
10;00044978;986291;BISC TRAKINAS CHOC/MORANGO 143;;1;202607;3;
53;00071574;986607;BISC CLUB SOCIAL ORIGINAL 144G;;7;202608;4;
17;00057373;986038;CX BOMBOM LACTA FAVORITOS     ;;5;202608;12;
17;00059237;986038;CX BOMBOM LACTA FAVORITOS     ;;30;202608;12;
71;00048144;996610;ICE TEA LIMAO 450ML           ;;2;202607;4;
